Time stamp,Water volume in tunnel V (m3),Inflow to tunnel F1 (m3/15 min),Outflow (m3/15 min),Pump efficiency 1.1 (kW),Pump efficiency 1.2 (kW),Pump efficiency 1.3 (kW),Pump efficiency 1.4 (kW),Pump efficiency 2.1 (kW),Pump efficiency 2.2 (kW),Pump efficiency 2.3 (kW),Pump efficiency 2.4 (kW),Pump flow 1.1 (m3/15 min),Pump flow 1.2 (m3/15 min),Pump flow 1.3 (m3/15 min),Pump flow 1.4 (m3/15 min),Pump flow 2.1 (m3/15 min),Pump flow 2.2 (m3/15 min),Pump flow 2.3 (m3/15 min),Pump flow 2.4 (m3/15 min),Electricity price 2: normal (EUR/kWh),Electricity price 1: high (EUR/kWh)
2024-11-15 22:30:00,99303.20947265629763478500535,1289.367797851559998889570124447345733642578125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.148000000000000131450406115618534386157989501953125,26.013000000000001676880856393836438655853271484375
2024-11-15 22:45:00,100597.7429199219276370058651,1294.53344726563000222085975110530853271484375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.148000000000000131450406115618534386157989501953125,26.013000000000001676880856393836438655853271484375
2024-11-15 23:00:00,101905.2366943359876358954352,1307.493774414059998889570124447345733642578125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.955999999999999960920149533194489777088165283203125,7.0679999999999996163069226895458996295928955078125
2024-11-15 23:15:00,103198.2924804687976347850053,1293.055786132809998889570124447345733642578125,750,0,0,0,0,0,400,0,0,0,0,0,0,0,750,0,0,0.955999999999999960920149533194489777088165283203125,7.0679999999999996163069226895458996295928955078125
2024-11-15 23:30:00,103737.1748046875476347850053,1288.88232421875,1500,0,0,0,0,0,400,400,0,0,0,0,0,0,750,750,0,0.955999999999999960920149533194489777088165283203125,7.0679999999999996163069226895458996295928955078125
2024-11-15 23:45:00,103539.0903320312976347850053,1301.91552734375,2250,0,0,0,0,0,400,400,400,0,0,0,0,0,750,750,750,0.955999999999999960920149533194489777088165283203125,7.0679999999999996163069226895458996295928955078125
2024-11-16 00:00:00,102583.8182373047376358954352,1294.727905273440001110429875552654266357421875,3000,0,400,0,0,0,400,400,400,0,750,0,0,0,750,750,750,0.3729999999999999982236431605997495353221893310546875,1.7050000000000000710542735760100185871124267578125
2024-11-16 00:15:00,100873.7233886719276370058651,1289.905151367190001110429875552654266357421875,3750,0,400,400,0,0,400,400,400,0,750,750,0,0,750,750,750,0.3729999999999999982236431605997495353221893310546875,1.7050000000000000710542735760100185871124267578125
2024-11-16 00:30:00,98400.9774169922376358954352,1277.254028320309998889570124447345733642578125,4500,0,400,400,400,0,400,400,400,0,750,750,750,0,750,750,750,0.3729999999999999982236431605997495353221893310546875,1.7050000000000000710542735760100185871124267578125
2024-11-16 00:45:00,95127.83605957036763811629495,1226.85864257813000222085975110530853271484375,4500,0,400,400,400,0,400,400,400,0,750,750,750,0,750,750,750,0.3729999999999999982236431605997495353221893310546875,1.7050000000000000710542735760100185871124267578125
2024-11-16 01:00:00,91839.57336425786763811629495,1211.7373046875,4500,0,400,400,400,0,400,400,400,0,750,750,750,0,750,750,750,0.343000000000000027089441800853819586336612701416015625,0.237999999999999989341858963598497211933135986328125
2024-11-16 01:15:00,88551.95373535161763811629495,1212.38037109375,4500,0,400,400,400,0,400,400,400,0,750,750,750,0,750,750,750,0.343000000000000027089441800853819586336612701416015625,0.237999999999999989341858963598497211933135986328125
2024-11-16 01:30:00,85244.37951660161763811629495,1192.42578125,4500,0,400,400,400,0,400,400,400,0,750,750,750,0,750,750,750,0.343000000000000027089441800853819586336612701416015625,0.237999999999999989341858963598497211933135986328125
2024-11-16 01:45:00,81862.74011230474764033715470,1118.36059570313000222085975110530853271484375,3750,0,400,400,400,0,0,400,400,0,750,750,750,0,0,750,750,0.343000000000000027089441800853819586336612701416015625,0.237999999999999989341858963598497211933135986328125
2024-11-16 02:00:00,79226.15332031255763922672482,1113.413208007809998889570124447345733642578125,3000,0,400,400,400,0,0,0,400,0,750,750,750,0,0,0,750,0.295999999999999985345056074947933666408061981201171875,0.1529999999999999971134201359745929948985576629638671875
2024-11-16 02:15:00,77340.11267089849764033715470,1113.959350585940001110429875552654266357421875,2250,0,400,400,400,0,0,0,0,0,750,750,750,0,0,0,0,0.295999999999999985345056074947933666408061981201171875,0.1529999999999999971134201359745929948985576629638671875
2024-11-16 02:30:00,76177.59289550787764255801445,1087.48022460938000222085975110530853271484375,1500,0,0,400,400,0,0,0,0,0,0,750,750,0,0,0,0,0.295999999999999985345056074947933666408061981201171875,0.1529999999999999971134201359745929948985576629638671875
